,chrom,chrom_int,loci,gene,locus_id,active
109,chr7,7,148,ELMO1,chr_7_loc_37000000,False
109,chr7,7,149,ELMO1,chr_7_loc_37250000,False
209,chr7,7,293,LIMK1,chr_7_loc_73250000,True
209,chr7,7,294,LIMK1,chr_7_loc_73500000,True
174,chr7,7,303,HSPB1,chr_7_loc_75750000,True
133,chr7,7,308,PTPN12,chr_7_loc_77000000,True
133,chr7,7,309,PTPN12,chr_7_loc_77250000,True
51,chr7,7,401,TRIP6,chr_7_loc_100250000,True
50,chr7,7,463,TES,chr_7_loc_115750000,True
14,chr7,7,464,CAV1,chr_7_loc_116000000,True
55,chr7,7,572,ZYX,chr_7_loc_143000000,True
171,chr7,7,602,KCNH2,chr_7_loc_150500000,True
103,chr8,8,51,DLC1,chr_8_loc_12750000,True
103,chr8,8,52,DLC1,chr_8_loc_13000000,True
103,chr8,8,53,DLC1,chr_8_loc_13250000,True
53,chr8,8,89,SORBS3,chr_8_loc_22250000,True
129,chr8,8,108,PTK2B,chr_8_loc_27000000,True
129,chr8,8,109,PTK2B,chr_8_loc_27250000,True
215,chr8,8,227,LYN,chr_8_loc_56750000,True
47,chr8,8,237,SDCBP,chr_8_loc_59250000,True
204,chr8,8,406,PABPC1,chr_8_loc_101500000,True
128,chr8,8,566,PTK2,chr_8_loc_141500000,True
128,chr8,8,567,PTK2,chr_8_loc_141750000,True
128,chr8,8,568,PTK2,chr_8_loc_142000000,True
150,chr8,8,579,PLEC,chr_8_loc_144750000,True
150,chr8,8,580,PLEC,chr_8_loc_145000000,True
157,chr8,8,580,SHARPIN,chr_8_loc_145000000,True
48,chr9,9,142,TLN1,chr_9_loc_35500000,True
217,chr9,9,142,TESK1,chr_9_loc_35500000,True
44,chr9,9,310,OSTF1,chr_9_loc_77500000,True
44,chr9,9,311,OSTF1,chr_9_loc_77750000,True
216,chr9,9,374,SYK,chr_9_loc_93500000,False
119,chr9,9,379,SPTLC1,chr_9_loc_94750000,True
10,chr9,9,403,CORO2A,chr_9_loc_100750000,True
165,chr9,9,522,ENG,chr_9_loc_130500000,True
126,chr9,9,534,ABL1,chr_9_loc_133500000,True
126,chr9,9,535,ABL1,chr_9_loc_133750000,True
182,chr9,9,537,RAPGEF1,chr_9_loc_134250000,True
182,chr9,9,538,RAPGEF1,chr_9_loc_134500000,True
187,chr9,9,546,VAV2,chr_9_loc_136500000,True
187,chr9,9,547,VAV2,chr_9_loc_136750000,True
72,chr10,10,62,ITGA8,chr_10_loc_15500000,True
72,chr10,10,63,ITGA8,chr_10_loc_15750000,True
156,chr10,10,69,VIM,chr_10_loc_17250000,True
143,chr10,10,108,ABI1,chr_10_loc_27000000,True
8,chr10,10,118,SVIL,chr_10_loc_29500000,True
8,chr10,10,119,SVIL,chr_10_loc_29750000,True
82,chr10,10,132,ITGB1,chr_10_loc_33000000,True
90,chr10,10,133,NRP1,chr_10_loc_33250000,True
90,chr10,10,134,NRP1,chr_10_loc_33500000,True
208,chr10,10,198,MAPK8,chr_10_loc_49500000,True
52,chr10,10,303,VCL,chr_10_loc_75750000,True
54,chr10,10,353,LDB3,chr_10_loc_88250000,True
203,chr10,10,358,PTEN,chr_10_loc_89500000,True
151,chr10,10,388,SORBS1,chr_10_loc_97000000,True
163,chr10,10,510,ADAM12,chr_10_loc_127500000,True
163,chr10,10,511,ADAM12,chr_10_loc_127750000,True
163,chr10,10,512,ADAM12,chr_10_loc_128000000,True
108,chr10,10,514,DOCK1,chr_10_loc_128500000,True
108,chr10,10,515,DOCK1,chr_10_loc_128750000,True
108,chr10,10,516,DOCK1,chr_10_loc_129000000,True
108,chr10,10,517,DOCK1,chr_10_loc_129250000,False
193,chr11,11,2,HRAS,chr_11_loc_500000,True
92,chr11,11,3,CD151,chr_11_loc_750000,True
120,chr11,11,26,ILK,chr_11_loc_6500000,True
37,chr11,11,49,PARVA,chr_11_loc_12250000,True
37,chr11,11,50,PARVA,chr_11_loc_12500000,True
30,chr11,11,233,LPXN,chr_11_loc_58250000,True
60,chr11,11,250,SLC3A2,chr_11_loc_62500000,True
29,chr11,11,255,FERMT3,chr_11_loc_63750000,True
197,chr11,11,259,CAPN1,chr_11_loc_64750000,True
1,chr11,11,262,CFL1,chr_11_loc_65500000,True
2,chr11,11,268,CORO1B,chr_11_loc_67000000,True
3,chr11,11,280,CTTN,chr_11_loc_70000000,True
31,chr11,11,280,PPFIA1,chr_11_loc_70000000,True
3,chr11,11,281,CTTN,chr_11_loc_70250000,True
115,chr11,11,287,INPPL1,chr_11_loc_71750000,True
121,chr11,11,308,PAK1,chr_11_loc_77000000,True
43,chr11,11,440,RDX,chr_11_loc_110000000,True
167,chr11,11,445,LAYN,chr_11_loc_111250000,True
176,chr11,11,476,CBL,chr_11_loc_119000000,True
169,chr11,11,477,THY1,chr_11_loc_119250000,True
189,chr11,11,480,ARHGEF12,chr_11_loc_120000000,True
189,chr11,11,481,ARHGEF12,chr_11_loc_120250000,True
180,chr11,11,515,ARHGAP32,chr_11_loc_128750000,True
180,chr11,11,516,ARHGAP32,chr_11_loc_129000000,True
135,chr12,12,28,PTPN6,chr_12_loc_7000000,True
219,chr12,12,61,PTPRO,chr_12_loc_15250000,False
219,chr12,12,62,PTPRO,chr_12_loc_15500000,False
219,chr12,12,63,PTPRO,chr_12_loc_15750000,True
155,chr12,12,198,TUBA1B,chr_12_loc_49500000,True
58,chr12,12,213,TENC1,chr_12_loc_53250000,True
88,chr12,12,214,ITGB7,chr_12_loc_53500000,True
69,chr12,12,219,ITGA5,chr_12_loc_54750000,True
71,chr12,12,224,ITGA7,chr_12_loc_56000000,True
62,chr12,12,230,LRP1,chr_12_loc_57500000,True
104,chr12,12,232,AGAP2,chr_12_loc_58000000,True
205,chr12,12,436,SSH1,chr_12_loc_109000000,True
205,chr12,12,437,SSH1,chr_12_loc_109250000,True
99,chr12,12,441,GIT2,chr_12_loc_110250000,True
136,chr12,12,451,PTPN11,chr_12_loc_112750000,True
39,chr12,12,482,PXN,chr_12_loc_120500000,True
105,chr13,13,134,STARD13,chr_13_loc_33500000,True
105,chr13,13,135,STARD13,chr_13_loc_33750000,True
110,chr13,13,447,ARHGEF7,chr_13_loc_111750000,True
200,chr14,14,93,MMP14,chr_14_loc_23250000,True
179,chr14,14,130,ARHGAP5,chr_14_loc_32500000,True
28,chr14,14,213,FERMT2,chr_14_loc_53250000,True
61,chr14,14,224,KTN1,chr_14_loc_56000000,True
175,chr14,14,260,HSPA2,chr_14_loc_65000000,True
0,chr14,14,277,ACTN1,chr_14_loc_69250000,True
59,chr14,14,416,ZFYVE21,chr_14_loc_104000000,True
206,chr14,14,420,AKT1,chr_14_loc_105000000,True
206,chr14,14,421,AKT1,chr_14_loc_105250000,True
95,chr15,15,203,TRPM7,chr_15_loc_50750000,True
75,chr15,15,274,ITGA11,chr_15_loc_68500000,True
127,chr15,15,300,CSK,chr_15_loc_75000000,True
131,chr15,15,309,PEAK1,chr_15_loc_77250000,True
131,chr15,15,310,PEAK1,chr_15_loc_77500000,True
161,chr15,15,313,CIB2,chr_15_loc_78250000,True
160,chr15,15,363,CIB1,chr_15_loc_90750000,True
46,chr15,15,398,SYNM,chr_15_loc_99500000,True
149,chr16,16,7,MAPK8IP3,chr_16_loc_1750000,True
94,chr16,16,8,PKD1,chr_16_loc_2000000,True
122,chr16,16,10,PDPK1,chr_16_loc_2500000,True
45,chr16,16,18,NUDT16L1,chr_16_loc_4500000,True
57,chr16,16,115,SH2B1,chr_16_loc_28750000,True
78,chr16,16,121,ITGAL,chr_16_loc_30250000,True
78,chr16,16,122,ITGAL,chr_16_loc_30500000,True
25,chr16,16,125,TGFB1I1,chr_16_loc_31250000,True
76,chr16,16,125,ITGAD,chr_16_loc_31250000,True
79,chr16,16,125,ITGAM,chr_16_loc_31250000,True
81,chr16,16,125,ITGAX,chr_16_loc_31250000,True
13,chr16,16,301,BCAR1,chr_16_loc_75250000,True
15,chr17,17,5,CRK,chr_17_loc_1250000,True
77,chr17,17,14,ITGAE,chr_17_loc_3500000,True
142,chr17,17,19,PFN1,chr_17_loc_4750000,True
56,chr17,17,33,NDEL1,chr_17_loc_8250000,True
98,chr17,17,111,GIT1,chr_17_loc_27750000,True
162,chr17,17,146,SRCIN1,chr_17_loc_36500000,True
162,chr17,17,147,SRCIN1,chr_17_loc_36750000,True
5,chr17,17,148,LASP1,chr_17_loc_37000000,True
21,chr17,17,151,GRB7,chr_17_loc_37750000,True
118,chr17,17,161,STAT3,chr_17_loc_40250000,True
118,chr17,17,162,STAT3,chr_17_loc_40500000,True
84,chr17,17,181,ITGB3,chr_17_loc_45250000,True
145,chr17,17,189,ABI3,chr_17_loc_47250000,True
67,chr17,17,192,ITGA3,chr_17_loc_48000000,True
123,chr17,17,257,PRKCA,chr_17_loc_64250000,True
123,chr17,17,258,PRKCA,chr_17_loc_64500000,True
123,chr17,17,259,PRKCA,chr_17_loc_64750000,True
20,chr17,17,293,GRB2,chr_17_loc_73250000,True
85,chr17,17,294,ITGB4,chr_17_loc_73500000,True
85,chr17,17,295,ITGB4,chr_17_loc_73750000,True
172,chr17,17,320,SLC16A3,chr_17_loc_80000000,True
153,chr18,18,12,MYOM1,chr_18_loc_3000000,True
221,chr18,18,51,PTPN2,chr_18_loc_12750000,True
211,chr18,18,74,ROCK1,chr_18_loc_18500000,True
202,chr19,19,14,PIP5K1C,chr_19_loc_3500000,True
186,chr19,19,27,VAV1,chr_19_loc_6750000,True
213,chr19,19,28,INSR,chr_19_loc_7000000,True
213,chr19,19,29,INSR,chr_19_loc_7250000,True
117,chr19,19,41,RAVER1,chr_19_loc_10250000,True
4,chr19,19,42,KEAP1,chr_19_loc_10500000,True
111,chr19,19,43,DNM2,chr_19_loc_10750000,True
96,chr19,19,52,CALR,chr_19_loc_13000000,True
210,chr19,19,56,PRKACA,chr_19_loc_14000000,True
164,chr19,19,172,CEACAM1,chr_19_loc_43000000,False
170,chr19,19,176,PLAUR,chr_19_loc_44000000,True
63,chr19,19,180,PVR,chr_19_loc_45000000,True
9,chr19,19,184,VASP,chr_19_loc_46000000,True
191,chr19,19,195,CYTH2,chr_19_loc_48750000,True
220,chr19,19,222,PTPRH,chr_19_loc_55500000,True
168,chr20,20,7,SIRPA,chr_20_loc_1750000,True
134,chr20,20,11,PTPRA,chr_20_loc_2750000,True
134,chr20,20,12,PTPRA,chr_20_loc_3000000,True
137,chr20,20,18,PRNP,chr_20_loc_4500000,True
27,chr20,20,24,FERMT1,chr_20_loc_6000000,True
130,chr20,20,143,SRC,chr_20_loc_35750000,True
130,chr20,20,144,SRC,chr_20_loc_36000000,True
113,chr20,20,159,PLCG1,chr_20_loc_39750000,True
64,chr20,20,175,SDC4,chr_20_loc_43750000,True
218,chr20,20,196,PTPN1,chr_20_loc_49000000,True
24,chr20,20,219,CASS4,chr_20_loc_54750000,True
24,chr20,20,220,CASS4,chr_20_loc_55000000,True
184,chr21,21,129,TIAM1,chr_21_loc_32250000,True
184,chr21,21,130,TIAM1,chr_21_loc_32500000,True
184,chr21,21,131,TIAM1,chr_21_loc_32750000,False
83,chr21,21,185,ITGB2,chr_21_loc_46250000,True
16,chr22,22,85,CRKL,chr_22_loc_21250000,True
207,chr22,22,88,MAPK1,chr_22_loc_22000000,True
125,chr22,22,89,PPM1F,chr_22_loc_22250000,True
33,chr22,22,119,NF2,chr_22_loc_29750000,True
33,chr22,22,120,NF2,chr_22_loc_30000000,True
178,chr22,22,126,RNF185,chr_22_loc_31500000,True
138,chr22,22,146,MYH9,chr_22_loc_36500000,True
138,chr22,22,147,MYH9,chr_22_loc_36750000,True
38,chr22,22,177,PARVB,chr_22_loc_44250000,True
38,chr22,22,178,PARVB,chr_22_loc_44500000,True
